,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
1626,2001,CZE,Czechia,10111.11530515618,0.4322665051464166,0.4322665051464166
1627,2002,CZE,Czechia,10125.15642846536,0.4354535907168072,0.4354535907168072
1628,2003,CZE,Czechia,10139.19755177454,0.4386406762871978,0.4386406762871978
1629,2004,CZE,Czechia,10153.23867508372,0.4418277618575884,0.4418277618575884
1630,2005,CZE,Czechia,10167.2797983929,0.445014847427979,0.445014847427979
1631,2006,CZE,Czechia,10204.37478503904,0.4453178273066003,0.4453178273066003
1632,2007,CZE,Czechia,10241.46977168518,0.4456208071852218,0.4456208071852218
1633,2008,CZE,Czechia,10278.56475833132,0.4459237870638431,0.4459237870638431
1634,2009,CZE,Czechia,10315.65974497746,0.4462267669424646,0.4462267669424646
1635,2010,CZE,Czechia,10352.7547316236,0.446529746821086,0.446529746821086
1636,2011,CZE,Czechia,10372.50819738412,0.4433130214576246,0.4433130214576246
1637,2012,CZE,Czechia,10392.26166314464,0.4400962960941632,0.4400962960941632
1638,2013,CZE,Czechia,10412.01512890516,0.4368795707307018,0.4368795707307018
1639,2014,CZE,Czechia,10431.76859466568,0.4336628453672404,0.4336628453672404
1640,2015,CZE,Czechia,10451.5220604262,0.430446120003779,0.430446120003779
1641,2016,CZE,Czechia,10463.80514965306,0.4316214240440064,0.4316214240440064
1642,2017,CZE,Czechia,10476.08823887992,0.4327967280842338,0.4327967280842338
1643,2018,CZE,Czechia,10488.37132810678,0.4339720321244612,0.4339720321244612
1644,2019,CZE,Czechia,10500.65441733364,0.4351473361646886,0.4351473361646886
1645,2020,CZE,Czechia,10512.9375065605,0.436322640204916,0.436322640204916
1646,2021,CZE,Czechia,10534.900826157,0.4348535101546317,0.4348535101546317
1647,2022,CZE,Czechia,10556.8641457535,0.4333843801043475,0.4333843801043475
1648,2023,CZE,Czechia,10578.82746535,0.4319152500540633,0.4319152500540633
1649,2024,CZE,Czechia,10600.7907849465,0.430446120003779,0.430446120003779
1700,1975,DNK,Denmark,8873.50877612187,0.375403560510851,0.375403560510851
1701,1976,DNK,Denmark,8785.930039728008,0.393219612710017,0.393219612710017
1702,1977,DNK,Denmark,8698.351303334146,0.411035664909183,0.411035664909183
1703,1978,DNK,Denmark,8610.772566940283,0.428851717108349,0.428851717108349
1704,1979,DNK,Denmark,8523.193830546421,0.446667769307515,0.446667769307515
1705,1980,DNK,Denmark,8435.61509415256,0.464483821506681,0.464483821506681
1706,1981,DNK,Denmark,8407.951623232311,0.467653996261365,0.467653996261365
1707,1982,DNK,Denmark,8380.288152312063,0.470824171016049,0.470824171016049
1708,1983,DNK,Denmark,8352.624681391817,0.4739943457707329,0.4739943457707329
1709,1984,DNK,Denmark,8324.961210471569,0.4771645205254169,0.4771645205254169
1710,1985,DNK,Denmark,8297.29773955132,0.480334695280101,0.480334695280101
1711,1986,DNK,Denmark,8303.259364094238,0.4819683237060841,0.4819683237060841
1712,1987,DNK,Denmark,8309.220988637157,0.4836019521320673,0.4836019521320673
1713,1988,DNK,Denmark,8315.182613180074,0.4852355805580506,0.4852355805580506
1714,1989,DNK,Denmark,8321.144237722992,0.4868692089840338,0.4868692089840338
1715,1990,DNK,Denmark,8327.10586226591,0.488502837410017,0.488502837410017
1716,1991,DNK,Denmark,8375.441035254762,0.4870156948869598,0.4870156948869598
1717,1992,DNK,Denmark,8423.776208243613,0.4855285523639026,0.4855285523639026
1718,1993,DNK,Denmark,8472.111381232466,0.4840414098408454,0.4840414098408454
1719,1994,DNK,Denmark,8520.446554221317,0.4825542673177882,0.4825542673177882
1720,1995,DNK,Denmark,8568.78172721017,0.481067124794731,0.481067124794731
1721,1996,DNK,Denmark,8648.135310749745,0.4825733183631438,0.4825733183631438
1722,1997,DNK,Denmark,8727.488894289321,0.4840795119315566,0.4840795119315566
1723,1998,DNK,Denmark,8806.842477828897,0.4855857054999694,0.4855857054999694
1724,1999,DNK,Denmark,8886.196061368473,0.4870918990683822,0.4870918990683822
1725,2000,DNK,Denmark,8965.54964490805,0.488598092636795,0.488598092636795
1726,2001,DNK,Denmark,9089.831732645627,0.5177859575036472,0.5177859575036472
1727,2002,DNK,Denmark,9214.113820383203,0.5469738223704994,0.5469738223704994
1728,2003,DNK,Denmark,9338.395908120783,0.5761616872373516,0.5761616872373516
1729,2004,DNK,Denmark,9462.677995858365,0.6053495521042038,0.6053495521042038
1730,2005,DNK,Denmark,9586.96008359594,0.634537416971056,0.634537416971056
1731,2006,DNK,Denmark,9759.770773992772,0.6313964630772466,0.6313964630772466
1732,2007,DNK,Denmark,9932.581464389605,0.6282555091834372,0.6282555091834372
1733,2008,DNK,Denmark,10105.392154786436,0.6251145552896278,0.6251145552896278
1734,2009,DNK,Denmark,10278.202845183268,0.6219736013958184,0.6219736013958184
1735,2010,DNK,Denmark,10451.0135355801,0.618832647502009,0.618832647502009
1736,2011,DNK,Denmark,10682.63061644318,0.6161602762905928,0.6161602762905928
1737,2012,DNK,Denmark,10914.24769730626,0.6134879050791766,0.6134879050791766
