"Country_Code","Country","Population_Near_Rapid_Transit","Population_Near_Fast_Transit","Population_Near_National_Highways","Population_Near_Cycling_Facilities","Population_Near_Sidewalks","Population_Near_Pedestrian_Bridges","Block_Density","Population_Density","Population_Near_Sustainable_Transport"
"NGA","Nigeria",0.00525078040990184,NA,0.700832545019075,0.0259075055245066,0.060057028361421,0,35.1131679142708,21537.857327138,0
"BEN","Benin",0,NA,0.695500834275307,0.108395607047306,0.607606926662917,0,52.3069124597845,13524.456974447,0
"GIN","Guinea",0,NA,0.58863971548046,0.0815217126958038,0.65564052341724,0,50.050069357436,22382.9272809653,0
"GNB","Guinea-Bissau",0,NA,0.860818238821158,0.163447525457803,0.145775543233517,0,37.0430311202923,16595.1091395534,0
"BFA","Burkina Faso",0,NA,0.882084792737344,0.227473788061842,0.466539018832256,0.092026060041133,84.2282373719689,12455.8917686461,0
"NOR","Norway",0.495822691872671,NA,0.558010921694637,0.847002554447111,0.868715130529343,0.598981505246808,84.327640962917,8159.21033660741,0.295724823458675
"GMB","Gambia",0,NA,0.910972246715269,0.0786215026180071,0.276007106395592,0,62.1418265393176,13554.1316651372,0
"SEN","Senegal",0,NA,0.57216970515512,0.111959365801945,0.676703217398324,0,149.208217531611,26159.4357852294,0
"MLI","Mali",0,NA,0.860076105605768,0.0765394450670158,0.793394782057478,0,94.8335409812902,24840.5458425972,0
"NER","Niger",0,NA,0.85668015987642,0.1064214457173,0.658719013041262,0.0526279644533118,75.8331456589366,18328.2413792803,0
"MRT","Mauritania",0,NA,0.902119369942407,0.0969218276895597,0.836786835285259,0,140.533278184344,22895.8441586202,0
"DZA","Algeria",0.169336542790723,0.00207442024465732,0.461593337081608,0.151845072866376,0.718155474809718,0.00402867811915787,60.774629273335,19995.1367704365,0.00130665169339951
"USA","United States",0.122847745523949,0.199809373801375,0.738529307070943,0.274151703127697,0.395678575056785,0.105738086709643,61.2654089274592,10417.0604265719,0.0442978549720464
"MAR","Morocco",0.129090777081364,NA,0.521705646963866,0.288775737635128,0.729816240759531,0.00493822799893414,97.3884379111371,49619.1390625891,5.2207249578381e-05
"NIC","Nicaragua",0,0.675668884689063,0.770841401872516,0.228679483801639,0.757118689026534,0,61.1107036143961,12551.8161973537,0
"SLV","El Salvador",0,NA,0.562147501955546,0.346256532391729,0.54800311625589,0,53.1106923339916,17281.9616253189,0
"HND","Honduras",0,NA,0.527824040768905,0.278439071352404,0.50469539580142,0,83.6420505902417,17483.3434149006,0
"GTM","Guatemala",0.00764391671292742,NA,0.625183526921804,0.249772656823164,0.373610646405937,0.0158331718388271,83.3802743075565,16697.0180040899,0.000215461616111196
"JAM","Jamaica",0,NA,0.761501163687433,0.142855514057001,0.57598110944273,0,37.4687018510738,7748.75077450951,0
"DOM","Dominican Republic",0.0756608044116222,0,0.622454130996312,0.16382138355255,0.590787559051335,0.0143287007968472,70.7478747168561,17464.521994764,0.00256124033404328
"HTI","Haiti",0,NA,0.91723412437905,0.360361659736486,0.798422381474972,0,38.7888388319387,17441.6929027384,0
"CUB","Cuba",0,NA,0.759795300239361,0.415794851747831,0.81627097588462,0,55.3984391338102,21812.1872538548,0
"MEX","Mexico",0.114603827613525,0.0118040548681557,0.613311086536909,0.302537784568812,0.45954927723915,0.0573840360855756,81.597146396419,13861.7454498327,0.0249965947760203
"NLD","Netherlands",0.155671070317708,0,0.636690555728626,0.854467450821717,0.754578900641347,0.853990121279651,102.930272375931,9401.20238748299,0.152173509665548
"TUN","Tunisia",0.178769472346002,0.0194764301617748,0.544347745790162,0.193507074597945,0.596451034355036,0,76.3025977402129,13622.115063415,0
"ESP","Spain",0.625840341210585,0.507044997915028,0.41663659358432,0.793809255186236,0.858489063042163,0.484544864247249,79.7005979837916,24432.3709121571,0.269720562359606
"VAT","Vatican City",0.540242294050805,0.788294262847742,0.372744369336013,0.998462107525328,0.930766668454965,0.116172282715347,89.669227450966,4047.95694901918,0.116149744285267
"CHE","Switzerland",0.606773854252207,0,0.720689807770777,0.920195701836742,0.864925716839564,0.360605653086846,95.3942060118411,9565.00122258076,0.282236670923328
"BEL","Belgium",0.0425752999742333,0.658317378381607,0.661958289390067,0.709056829572068,0.811706545795851,0.569505017674266,56.3946537316375,12394.8084877881,0.410282865106598
"ALB","Albania",0,NA,0.577917943975751,0.460572948963823,0.740023784662972,0.261095618198126,45.1688139501609,19982.1739597842,0
"ITA","Italy",0.224872792361121,0.525442039911508,0.639254201084967,0.56802580188999,0.743028734250019,0.285010756672336,40.9910908385799,21534.9167240794,0.0572504365874952
"BGR","Bulgaria",0.433415773190961,0,0.629918693566054,0.694151954459223,0.814958930932708,0.166149851400482,82.4109810693081,10722.3775513339,0.109756438947726
"SRB","Serbia",0,0.795497097253594,0.705343031965811,0.600210228298549,0.769522543895913,0.163819203410016,56.047243716615,13371.4360356429,0.157684326369697
"HRV","Croatia",0,0.768784008604773,0.758784537523652,0.739395838742925,0.808919373422808,0.371939202402729,70.6692333613074,9564.61837423915,0.34708596279135
"ROU","Romania",0.443273222898462,NA,0.548812703890953,0.499119133518945,0.841887721696835,0.0581277992387344,63.4926310176982,17370.5978539315,0.0372306529461461
"HUN","Hungary",0.274572514915826,0.834206109300064,0.783589949504257,0.624384945460934,0.860527726560577,0.228428678980685,63.7842026999856,10652.2324717424,0
"AUT","Austria",0.545781287755416,0.84801533133153,0.730650285702072,0.844058935022655,0.886607927143211,0.559759191775787,81.0013714834566,14231.0093049648,0
"CZE","Czechia",0.430446120003779,0.887233278708239,0.624114815085911,0.911984380319588,0.857128133497856,0.182416679987415,97.3121964252515,10600.7907849465,0.174359828621612
"POL","Poland",0.120810743294417,0.660218559357939,0.647181764280407,0.828262546639669,0.862940249286726,0.577331001913607,80.5733069177533,10169.7006493187,0.176753788353476
